guid,Location,Macrolocation,Sublocation,LocationType,Macrotype,Placeholder,Map,LocatorMap,MacroPlaceholder,tags
skk/t&-ABQ,Rutland,East Midlands,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-Rutland.svg"" />","<img src=""locator-Rutland.svg"" />","<img src=""uk_regions.svg"" />",County England
pU|#((fgy;,Northamptonshire,East Midlands,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-Northamptonshire.svg"" />","<img src=""locator-Northamptonshire.svg"" />","<img src=""uk_regions.svg"" />",County England
"s_xAd,E^5q",Derbyshire,East Midlands,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-Derbyshire.svg"" />","<img src=""locator-Derbyshire.svg"" />","<img src=""uk_regions.svg"" />",County England
bt$z$5`6Hr,Cambridgeshire,East of England,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-Cambridgeshire.svg"" />","<img src=""locator-Cambridgeshire.svg"" />","<img src=""uk_regions.svg"" />",County England
bbICt&aZgi,Norfolk,East of England,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-Norfolk.svg"" />","<img src=""locator-Norfolk.svg"" />","<img src=""uk_regions.svg"" />",County England
bYY}gvOwW%,Suffolk,East of England,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-Suffolk.svg"" />","<img src=""locator-Suffolk.svg"" />","<img src=""uk_regions.svg"" />",County England
eEBQJkHN!k,Essex,East of England,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-Essex.svg"" />","<img src=""locator-Essex.svg"" />","<img src=""uk_regions.svg"" />",County England
e_>UK71x)S,Hertfordshire,East of England,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-Hertfordshire.svg"" />","<img src=""locator-Hertfordshire.svg"" />","<img src=""uk_regions.svg"" />",County England
jqXOA]QWow,Bedfordshire,East of England,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-Bedfordshire.svg"" />","<img src=""locator-Bedfordshire.svg"" />","<img src=""uk_regions.svg"" />",County England
odwTC?R09y,Buckinghamshire,South East,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-Buckinghamshire.svg"" />","<img src=""locator-Buckinghamshire.svg"" />","<img src=""uk_regions.svg"" />",County England
i.NHPtm)SV,Berkshire,South East,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-Berkshire.svg"" />","<img src=""locator-Berkshire.svg"" />","<img src=""uk_regions.svg"" />",County England
ot5R/GJ@CF,Surrey,South East,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-Surrey.svg"" />","<img src=""locator-Surrey.svg"" />","<img src=""uk_regions.svg"" />",County England
vT9iPthdO0,West Sussex,South East,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-West Sussex.svg"" />","<img src=""locator-West Sussex.svg"" />","<img src=""uk_regions.svg"" />",County England
p{ADZC!McQ,Kent,South East,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-Kent.svg"" />","<img src=""locator-Kent.svg"" />","<img src=""uk_regions.svg"" />",County England
"gdd9)0b1,]",East Sussex,South East,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-East Sussex.svg"" />","<img src=""locator-East Sussex.svg"" />","<img src=""uk_regions.svg"" />",County England
h+Vntn8s![,Hampshire,South East,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-Hampshire.svg"" />","<img src=""locator-Hampshire.svg"" />","<img src=""uk_regions.svg"" />",County England
m;33fzks`K,Oxfordshire,South East,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-Oxfordshire.svg"" />","<img src=""locator-Oxfordshire.svg"" />","<img src=""uk_regions.svg"" />",County England
lb4#2Th:Ff,Isle of Wight,South East,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-Isle of Wight.svg"" />","<img src=""locator-Isle of Wight.svg"" />","<img src=""uk_regions.svg"" />",County England
i-B[QLf&TZ,Gloucestershire,South West,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-Gloucestershire.svg"" />","<img src=""locator-Gloucestershire.svg"" />","<img src=""uk_regions.svg"" />",County England
sQ?-e2{]!i,Wiltshire,South West,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-Wiltshire.svg"" />","<img src=""locator-Wiltshire.svg"" />","<img src=""uk_regions.svg"" />",County England
f$YI_2Z>lW,Somerset,South West,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-Somerset.svg"" />","<img src=""locator-Somerset.svg"" />","<img src=""uk_regions.svg"" />",County England
qej94RmGWg,Bristol,South West,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-Bristol.svg"" />","<img src=""locator-Bristol.svg"" />","<img src=""uk_regions.svg"" />",County England
ittiQCQy-0,Dorset,South West,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-Dorset.svg"" />","<img src=""locator-Dorset.svg"" />","<img src=""uk_regions.svg"" />",County England
r9L:31t<Py,Devon,South West,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-Devon.svg"" />","<img src=""locator-Devon.svg"" />","<img src=""uk_regions.svg"" />",County England
jV4yI}#JKA,Cornwall,South West,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-Cornwall.svg"" />","<img src=""locator-Cornwall.svg"" />","<img src=""uk_regions.svg"" />",County England
eY!H7e8#e3,City of London,London,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-City of London.svg"" />","<img src=""locator-City of London.svg"" />","<img src=""uk_regions.svg"" />",County England
fop%K1JNzp,Greater London,London,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-Greater London.svg"" />","<img src=""locator-Greater London.svg"" />","<img src=""uk_regions.svg"" />",County England
nz^%t{k[rU,Gwynedd,Wales,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-Gwynedd.svg"" />","<img src=""locator-Gwynedd.svg"" />","<img src=""uk_regions.svg"" />",County Wales
l|0):}n^Cz,Clwyd,Wales,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-Clwyd.svg"" />","<img src=""locator-Clwyd.svg"" />","<img src=""uk_regions.svg"" />",County Wales
i-6p6h$oYo,Powys,Wales,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-Powys.svg"" />","<img src=""locator-Powys.svg"" />","<img src=""uk_regions.svg"" />",County Wales
r+mTl{W8=3,Dyfed,Wales,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-Dyfed.svg"" />","<img src=""locator-Dyfed.svg"" />","<img src=""uk_regions.svg"" />",County Wales
u+;[NK:s#t,West Glamorgan,Wales,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-West Glamorgan.svg"" />","<img src=""locator-West Glamorgan.svg"" />","<img src=""uk_regions.svg"" />",County Wales
k&Bi(%ndMr,Mid Glamorgan,Wales,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-Mid Glamorgan.svg"" />","<img src=""locator-Mid Glamorgan.svg"" />","<img src=""uk_regions.svg"" />",County Wales
