guid,Location,Macrolocation,Sublocation,LocationType,Macrotype,Placeholder,Map,LocatorMap,MacroPlaceholder,tags
yUaR%ec@),Liverpool,Merseyside,,City,County,,,"<img src=""c-Merseyside.svg"" />","<img src=""uk_counties.svg"" />",City England
l/Wjg)q-qZ,City of London,City of London,,City,County,,,"<img src=""c-City of London.svg"" />","<img src=""uk_counties.svg"" />",City England
uD#4.ECD`l,Manchester,Greater Manchester,,City,County,,,"<img src=""c-Greater Manchester.svg"" />","<img src=""uk_counties.svg"" />",City England
r^&_5(m]HJ,Newcastle upon Tyne,Tyne and Wear,,City,County,,,"<img src=""c-Tyne and Wear.svg"" />","<img src=""uk_counties.svg"" />",City England
o|G)(|#PDT,Norwich,Norfolk,,City,County,,,"<img src=""c-Norfolk.svg"" />","<img src=""uk_counties.svg"" />",City England
d.cxX6_ESA,Nottingham,Nottinghamshire,,City,County,,,"<img src=""c-Nottinghamshire.svg"" />","<img src=""uk_counties.svg"" />",City England
pGDcNFb-c=,Oxford,Oxfordshire,,City,County,,,"<img src=""c-Oxfordshire.svg"" />","<img src=""uk_counties.svg"" />",City England
cRd-;7gAH%,Peterborough,Cambridgeshire,,City,County,,,"<img src=""c-Cambridgeshire.svg"" />","<img src=""uk_counties.svg"" />",City England
gQbAsm;g>Z,Plymouth,Devon,,City,County,,,"<img src=""c-Devon.svg"" />","<img src=""uk_counties.svg"" />",City England
ctIQ=qyJP.,Portsmouth,Hampshire,,City,County,,,"<img src=""c-Hampshire.svg"" />","<img src=""uk_counties.svg"" />",City England
t2Oen!H{[n,Preston,Lancashire,,City,County,,,"<img src=""c-Lancashire.svg"" />","<img src=""uk_counties.svg"" />",City England
d;oV-j^Trt,Ripon,North Yorkshire,,City,County,,,"<img src=""c-North Yorkshire.svg"" />","<img src=""uk_counties.svg"" />",City England
bP|{aP]<8?,Salford,Greater Manchester,,City,County,,,"<img src=""c-Greater Manchester.svg"" />","<img src=""uk_counties.svg"" />",City England
qOA`X-;$|7,Salisbury,Wiltshire,,City,County,,,"<img src=""c-Wiltshire.svg"" />","<img src=""uk_counties.svg"" />",City England
ee`k?;O`X1,Sheffield,South Yorkshire,,City,County,,,"<img src=""c-South Yorkshire.svg"" />","<img src=""uk_counties.svg"" />",City England
rDH5#/}D%o,Southampton,Hampshire,,City,County,,,"<img src=""c-Hampshire.svg"" />","<img src=""uk_counties.svg"" />",City England
dw+`wl.!w/,St Albans,Hertfordshire,,City,County,,,"<img src=""c-Hertfordshire.svg"" />","<img src=""uk_counties.svg"" />",City England
l<?NV@WYvZ,Stoke-on-Trent,Staffordshire,,City,County,,,"<img src=""c-Staffordshire.svg"" />","<img src=""uk_counties.svg"" />",City England
b2sB([?Oz@,Sunderland,Tyne and Wear,,City,County,,,"<img src=""c-Tyne and Wear.svg"" />","<img src=""uk_counties.svg"" />",City England
vfb)4-g{hl,Truro,Cornwall,,City,County,,,"<img src=""c-Cornwall.svg"" />","<img src=""uk_counties.svg"" />",City England
c$P9.&{J$O,Wakefield,West Yorkshire,,City,County,,,"<img src=""c-West Yorkshire.svg"" />","<img src=""uk_counties.svg"" />",City England
qO6*-=|rav,Wells,Somerset,,City,County,,,"<img src=""c-Somerset.svg"" />","<img src=""uk_counties.svg"" />",City England
pQbfRdN.wi,Westminster,Greater London,,City,County,,,"<img src=""c-Greater London.svg"" />","<img src=""uk_counties.svg"" />",City England
jW&R)K:Di&,Winchester,Hampshire,,City,County,,,"<img src=""c-Hampshire.svg"" />","<img src=""uk_counties.svg"" />",City England
uJi:`z6Yhd,Wolverhampton,West Midlands,,City,County,,,"<img src=""c-West Midlands.svg"" />","<img src=""uk_counties.svg"" />",City England
bp60`w9sFU,Worcester,Worcestershire,,City,County,,,"<img src=""c-Worcestershire.svg"" />","<img src=""uk_counties.svg"" />",City England
hhIGE`gQ]:,York,North Yorkshire,,City,County,,,"<img src=""c-North Yorkshire.svg"" />","<img src=""uk_counties.svg"" />",City England
m;F[.AJfg=,Aberdeen,Aberdeen City,,City,County,,,"<img src=""c-Aberdeen City.svg"" />","<img src=""uk_counties.svg"" />",City Scotland
"i,//kZd8T:",Dundee,Dundee City,,City,County,,,"<img src=""c-Dundee City.svg"" />","<img src=""uk_counties.svg"" />",City Scotland
siM%;}X!r!,Edinburgh,City of Edinburgh,,City,County,,,"<img src=""c-City of Edinburgh.svg"" />","<img src=""uk_counties.svg"" />",City Scotland
b$b:nymwmZ,Glasgow,Glasgow City,,City,County,,,"<img src=""c-Glasgow City.svg"" />","<img src=""uk_counties.svg"" />",City Scotland
jLQ!k=)ZOq,Inverness,Highland,,City,County,,,"<img src=""c-Highland.svg"" />","<img src=""uk_counties.svg"" />",City Scotland
q-b4[$mMR?,Perth,Perth and Kinross,,City,County,,,"<img src=""c-Perth and Kinross.svg"" />","<img src=""uk_counties.svg"" />",City Scotland
ku&81MNWeo,Stirling,Stirling,,City,County,,,"<img src=""c-Stirling.svg"" />","<img src=""uk_counties.svg"" />",City Scotland
jQb(4svnRN,Bangor,Gwynedd,,City,County,,,"<img src=""c-Gwynedd.svg"" />","<img src=""uk_counties.svg"" />",City Wales
f-_nU@}<n.,Cardiff,South Glamorgan,,City,County,,,"<img src=""c-South Glamorgan.svg"" />","<img src=""uk_counties.svg"" />",City Wales
u^TFq(ACtc,Newport,Gwent,,City,County,,,"<img src=""c-Gwent.svg"" />","<img src=""uk_counties.svg"" />",City Wales
vr~Lav5@hp,St Asaph,Clwyd,,City,County,,,"<img src=""c-Clwyd.svg"" />","<img src=""uk_counties.svg"" />",City Wales
"g7H-KV,V#z",St Davids,Dyfed,,City,County,,,"<img src=""c-Dyfed.svg"" />","<img src=""uk_counties.svg"" />",City Wales
l{{Y-cH!Ul,Swansea,West Glamorgan,,City,County,,,"<img src=""c-West Glamorgan.svg"" />","<img src=""uk_counties.svg"" />",City Wales
dYog6{48Yu,Armagh,County Armagh,,City,County,,,"<img src=""c-County Armagh.svg"" />","<img src=""uk_counties.svg"" />",City NorthernIreland
"m,G6f2xtm5",Belfast,County Antrim,,City,County,,,"<img src=""c-County Antrim.svg"" />","<img src=""uk_counties.svg"" />",City NorthernIreland
uv|ugpmSZ/,Lisburn,County Antrim / County Down,,City,County,,,,,City NorthernIreland
"b*l,%oG*1D",Newry,County Armagh / County Down,,City,County,,,,,City NorthernIreland
p5||w4hSHQ,Derry,County Londonderry,,City,County,,,"<img src=""c-County Londonderry.svg"" />","<img src=""uk_counties.svg"" />",City NorthernIreland
