guid,location,macrolocation,city,county,region,bow,tags
",q+m5xi]@x",Leicestershire,East Midlands,,Leicestershire,,,"County, England"
",SspF`#/90",Exeter,Devon,Exeter,,,,"City, England"
",vZ@|Q0tB-",Suffolk,East of England,,Suffolk,,,"County, England"
",}ja!eMhL[",Preston,Lancashire,Preston,,,,"City, England"
",~yG}?,xmQ",Clackmannanshire,Scotland,,Clackmannanshire,,,"County, Scotland"
-.f+8~_+P9,Cardiff,South Glamorgan,Cardiff,,,,"City, Wales"
-cLq>2y6Cr,Derbyshire,East Midlands,,Derbyshire,,,"County, England"
-f{XBr`Q#1,Dyfed,Wales,,Dyfed,,,"County, Wales"
-ke+#ac|*k,West Glamorgan,Wales,,West Glamorgan,,,"County, Wales"
-lDHPj`{uI,South Ayrshire,Scotland,,South Ayrshire,,,"County, Scotland"
-lG}?7Z&@s,Cornwall,South West,,Cornwall,,,"County, England"
-Ys#Gcgnon,Birmingham,West Midlands (county),Birmingham,,,,"City, England"
-zEn?RsI)e,Chelmsford,Essex,Chelmsford,,,,"City, England"
.5|1=Z}MR[,North West,,,,North West,,"Region, England"
.6yRf:NYA_,Carlisle,Cumbria,Carlisle,,,,"City, England"
.:^J=[U|-~,Strait of Dover,,,,,Strait of Dover,BoW
.[DauhGjR_,West Yorkshire,Yorkshire and the Humber,,West Yorkshire,,,"County, England"
.k7~sc;_46,Armagh,County Armagh,Armagh,,,,"City, NorthernIreland"
.SO{00TB{!,Essex,East of England,,Essex,,,"County, England"
.uetlvecK(,Atlantic Ocean,,,,,Atlantic Ocean,BoW
".YKoZs{U,%",Scottish Borders,Scotland,,Scottish Borders,,,"County, Scotland"
.|E}F(?1oz,Surrey,South East,,Surrey,,,"County, England"
"/&M%Vo1Nl,",West Lothian,Scotland,,West Lothian,,,"County, Scotland"
/6S0U&{JI!,Inverclyde,Scotland,,Inverclyde,,,"County, Scotland"
/=9n5<lp{w,Greater London,London,,Greater London,,,"County, England"
/lA]aDF{r#,Firth of Forth,,,,,Firth of Forth,BoW
"/qa[Y,m&2u",Perth and Kinross,Scotland,,Perth and Kinross,,,"County, Scotland"
/QkGW`4D[D,County Fermanagh,Northern Ireland,,County Fermanagh,,,"County, NorthernIreland"
/S[ys<NVD%,Firth of Clyde,,,,,Firth of Clyde,BoW
/ZiyD7h1nU,East Midlands,,,,East Midlands,,"Region, England"
1M>#Uj)_H,Sheffield,South Yorkshire,Sheffield,,,,"City, England"
6&*!x?2]xN,Chester,Cheshire,Chester,,,,"City, England"
65>T[fpl_<,Outer Hebrides,Scotland,,Outer Hebrides,,,"County, Scotland"
